Mouse,Genotype,Date,Selected Behavior,Fiber Connection,Sham,Total Time Spent In Stim (minutes),Left Turns,All Other,Locomotion,Right Turns,Face Groom,All Other Groom
P22,D1,071223,Face Groom,Bilateral,y,30.03,1202.03,106.80000000000001,119.5,142.17,53.9,177.14000000000001
P22,D1,071323,Face Groom,Bilateral,y,29.79,114.24,1222.13,97.44000000000001,132.4,180.9,40.08
P22,D1,071423,Right Turn,Ipsilateral,n,29.9,1308.3,102.42,138.24,120.96,87.11,37.0
P22,D1,071723,Right Turn,Ipsilateral,y,30.1,1266.3700000000001,86.19000000000001,93.94,109.4,78.75,171.6
P22,D1,071823,Right Turn,Contralateral,n,29.98,1208.25,132.75,99.60000000000001,113.2,169.56,75.25
P22,D1,072023,Right Turn,Bilateral,n,29.91,1208.01,155.20000000000002,100.56,129.58,109.2,92.14
P22,D1,072123,Right Turn,Bilateral,y,30.0,108.08000000000001,1294.48,71.28,101.60000000000001,67.1,157.17
P22,D1,072523,locomotion,Bilateral,n,29.93,1158.84,62.46,108.75,95.2,69.36,301.44
P22,D1,072823,locomotion,Bilateral,y,29.92,1340.27,78.47,73.0,78.72,48.059999999999995,176.70999999999998
P22,D1,0607223,Right Turn,Bilateral,y,30.04,133.56,1237.6000000000001,114.18,93.29,106.92,117.11999999999999
