AH2(KO)-Lights On
Key,Average Duration (seconds)
Investigate Type 2,0.081
Locomotion,0.081
Ipsi-Orient,0.016
Investigate Type 1,0.08
Ipsi-Body Groom,0.023
Face Groom Type 1,0.074
Investigate Type 3,0.064
Dive/Scrunch,0.011
Contra-Orient,0.015
Contra-Itch,0.023
Ipsi-Itch Type 1,0.001
Head Groom,0.039
Face Groom Type 2,0.029
Paw-Groom,0.051
Contra-Body Groom,0.011
Rear,0.053
