AH3(HET)-No Lights
Key,Average Duration (seconds)
Investigate Type 2,0.105
Locomotion,0.109
Contra-Itch,0.032
Ipsi-Orient,0.025
Investigate Type 3,0.061
Contra-Orient,0.015
Investigate Type 1,0.085
Paw-Groom,0.017
Ipsi-Itch Type 1,0.006
Face Groom Type 1,0.055
Dive/Scrunch,0.015
Rear,0.044
Head Groom,0.045
Ipsi-Body Groom,0.05
Contra-Body Groom,0.041
Face Groom Type 2,0.04
