AH3(HET)-No Lights
Key,Total Bouts
Investigate Type 2,4539
Locomotion,3530
Contra-Itch,529
Ipsi-Orient,1468
Investigate Type 3,311
Contra-Orient,1103
Investigate Type 1,589
Paw-Groom,29
Ipsi-Itch Type 1,102
Face Groom Type 1,234
Dive/Scrunch,117
Rear,41
Head Groom,56
Ipsi-Body Groom,138
Contra-Body Groom,81
Face Groom Type 2,45
