Key,Value
Locomotion,1346.1000000000001
Contra-Orient,217.39999999999998
Ipsi-Orient,280.6
Investigate Type 2,1250.7
insignificant,363.0
Face Groom Type 1,34.2
Investigate Type 1,121.5
Contra-Itch,112.6
Dive/Scrunch,34.099999999999994
Ipsi-Itch Type 1,23.400000000000002
Investigate Type 3,59.099999999999994
Ipsi-Body Groom,19.999999999999996
Paw-Groom,2.3
Head Groom,7.3999999999999995
Contra-Body Groom,21.8
Rear,5.5
Face Groom Type 2,0.4
