AH4(KO)-Lights Off
Key,Total Bouts
Locomotion,3688
Investigate Type 2,4827
Ipsi-Orient,1682
Ipsi-Itch Type 1,169
Investigate Type 1,642
Dive/Scrunch,268
Face Groom Type 1,296
Investigate Type 3,682
Contra-Orient,1185
Contra-Itch,651
Ipsi-Body Groom,101
Head Groom,46
Rear,37
Contra-Body Groom,60
Paw-Groom,64
Face Groom Type 2,35
