AH2(HET)-No Lights
Key,Average Duration (seconds)
Locomotion,0.091
Investigate Type 2,0.118
Contra-Orient,0.013
Ipsi-Orient,0.017
Investigate Type 3,0.068
Ipsi-Itch Type 1,0.0
Contra-Itch,0.025
Dive/Scrunch,0.014
Investigate Type 1,0.106
Contra-Body Groom,0.01
Face Groom Type 1,0.044
Rear,0.05
Paw-Groom,0.094
Ipsi-Body Groom,0.069
Head Groom,0.06
Face Groom Type 2,0.011
