AH1-No Lights
Key,Total Bouts
Locomotion,3375
Investigate Type 2,4905
Contra-Orient,1257
Ipsi-Orient,1419
Face Groom Type 2,10
Dive/Scrunch,132
Face Groom Type 1,133
Investigate Type 1,439
Investigate Type 3,327
Contra-Itch,639
Ipsi-Itch Type 1,179
Rear,65
Head Groom,36
Ipsi-Body Groom,138
Contra-Body Groom,153
Paw-Groom,13
